Total Duration,Total Cost FCFA
150.33727238189877,81462223.29748444
140.26468942727814,75215282.82023898
133.8763703182315,66275499.84918693
125.88409085927402,67438178.757303
141.41161165941244,79691331.66341329
131.14968079413933,62384355.54243834
102.58625519001471,80423204.69526269
151.45713788790678,71604507.03748104
140.45643545834102,69654811.71746643
155.9158580712807,76279230.58150527
119.4061029970865,70780940.872049
162.76350786045768,72434548.11295679
127.22481662646273,73805724.55281408
128.86982109867142,62721342.82020441
141.37748555457827,68219600.45437928
148.77237068650507,59715931.92894926
121.97220291755163,74587784.33113642
119.45380206469338,74186920.74933423
151.1907970714982,76514678.91168134
147.57534461234746,62051817.91945233
153.75634275385374,68226739.52655497
157.08587392508056,66685331.581074625
143.41580942820372,66842720.91228337
137.56499888542967,74014989.13375103
119.37330730488175,71572175.7900504
148.88056503129746,70689533.0042246
158.86662911145422,69031289.69409825
161.92718940723242,75952074.14694674
161.24099660470435,73215871.1309637
146.42018323105472,85539709.34659356
130.8375579257966,73647039.63148865
136.51628622512203,75894526.30472827
